PRODUCT_NAME,DESCRIPTION,DESCRIPTION - Detail 1,DESCRIPTION - Detail 2,DESCRIPTION - Detail 3,STANDARD_COST,LIST_PRICE,QUANTITY,WAREHOUSE_NAME,,ADDRESS,,CITY,STATE,COUNTRY_NAME
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,113,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,101,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,89,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,77,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,65,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-1650 V3,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,399.77,564.89,53,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,28,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,13,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,,133,"Southlake, Texas",,2014 Jabberwocky Rd,,Southlake,Texas,United States of America
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,185,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,136,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,104,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,81,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,60,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Core i7-5930K,"Speed:3.5GHz,Cores:6,TDP:140W",Speed:3.5GHz,Cores:6,TDP:140W,481.56,554.99,45,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2699 V3 (OEM/Tray),"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2867.51,3410.46,189,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-2699 V3 (OEM/Tray),"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,,TDP:145W,2867.51,3410.46,141,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2144.4,2554.99,34,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2144.4,2554.99,23,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2144.4,2554.99,100,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2144.4,2554.99,71,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2144.4,2554.99,58,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2697 V4,"Speed:2.3GHz,Cores:18,TDP:145W",Speed:2.3GHz,Cores:18,TDP:145W,2144.4,,46,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",Speed:2.3GHz,Cores:14,TDP:120W,1925.13,2431.95,7,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",Speed:2.3GHz,Cores:14,TDP:120W,1925.13,2431.95,6,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",Speed:2.3GHz,Cores:14,TDP:120W,1925.13,2431.95,112,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",Speed:2.3GHz,Cores:14,TDP:120W,1925.13,2431.95,90,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",Speed:2.3GHz,Cores:14,TDP:120W,1925.13,2431.95,29,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2695 V3 (OEM/Tray),"Speed:2.3GHz,Cores:14,TDP:120W",Speed:2.3GHz,Cores:14,TDP:120W,1925.13,2431.95,18,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",Speed:2.7GHz,Cores:12,TDP:130W,2101.59,2377.09,11,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",Speed:2.7GHz,,TDP:130W,2101.59,2377.09,0,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",Speed:2.7GHz,Cores:12,TDP:130W,2101.59,2377.09,66,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",Speed:2.7GHz,Cores:12,TDP:130W,2101.59,2377.09,44,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",Speed:2.7GHz,Cores:12,TDP:130W,2101.59,2377.09,33,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2697 V2,"Speed:2.7GHz,Cores:12,TDP:130W",Speed:2.7GHz,Cores:12,TDP:130W,2101.59,2377.09,22,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",Speed:2.4GHz,Cores:12,TDP:115W,1793.53,2259.99,34,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",Speed:2.4GHz,Cores:12,TDP:115W,1793.53,,22,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",Speed:2.4GHz,Cores:12,TDP:115W,1793.53,2259.99,94,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",Speed:2.4GHz,Cores:12,TDP:115W,1793.53,2259.99,70,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",Speed:2.4GHz,Cores:12,TDP:115W,1793.53,2259.99,58,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2695 V2,"Speed:2.4GHz,Cores:12,TDP:115W",Speed:2.4GHz,Cores:12,TDP:115W,1793.53,2259.99,46,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",Speed:3.1GHz,Cores:10,TDP:160W,1781.47,2064.99,45,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",Speed:3.1GHz,Cores:10,TDP:160W,1781.47,2064.99,32,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",Speed:3.1GHz,Cores:10,TDP:160W,1781.47,2064.99,69,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",Speed:3.1GHz,Cores:10,TDP:160W,1781.47,2064.99,86,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",Speed:3.1GHz,Cores:10,TDP:160W,1781.47,2064.99,72,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2687W V3,"Speed:3.1GHz,Cores:10,TDP:160W",Speed:3.1GHz,Cores:10,TDP:160W,1781.47,2064.99,58,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",Speed:3.0GHz,Cores:12,TDP:160W,1723.83,2042.69,49,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",Speed:3.0GHz,,TDP:160W,1723.83,2042.69,36,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",Speed:3.0GHz,Cores:12,TDP:160W,1723.83,2042.69,73,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",Speed:3.0GHz,Cores:12,TDP:160W,1723.83,2042.69,90,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",Speed:3.0GHz,Cores:12,TDP:160W,1723.83,2042.69,76,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2687W V4,"Speed:3.0GHz,Cores:12,TDP:160W",Speed:3.0GHz,Cores:12,TDP:160W,1723.83,2042.69,62,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",Speed:2.6GHz,Cores:14,TDP:135W,1499.26,1994.49,27,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",Speed:2.6GHz,Cores:14,TDP:135W,1499.26,1994.49,15,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",Speed:2.6GHz,Cores:14,TDP:135W,1499.26,1994.49,87,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",Speed:2.6GHz,Cores:14,TDP:135W,1499.26,1994.49,63,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",Speed:2.6GHz,Cores:14,TDP:135W,1499.26,1994.49,51,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2690 V4,"Speed:2.6GHz,Cores:14,TDP:135W",Speed:2.6GHz,Cores:14,TDP:135W,1499.26,1994.49,39,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",Speed:2.6GHz,Cores:12,TDP:135W,1540.35,1908.73,33,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",Speed:2.6GHz,Cores:12,TDP:135W,1540.35,1908.73,21,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",Speed:2.6GHz,Cores:12,TDP:135W,1540.35,1908.73,93,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",Speed:2.6GHz,Cores:12,TDP:135W,1540.35,1908.73,69,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",Speed:2.6GHz,Cores:12,TDP:135W,1540.35,1908.73,57,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2690 V3,"Speed:2.6GHz,Cores:12,TDP:135W",Speed:2.6GHz,Cores:12,TDP:135W,1540.35,1908.73,45,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",Speed:2.1GHz,Cores:16,TDP:120W,1706.95,1899.99,47,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",Speed:2.1GHz,Cores:16,TDP:120W,1706.95,1899.99,35,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",Speed:2.1GHz,Cores:16,TDP:120W,1706.95,1899.99,107,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",Speed:2.1GHz,Cores:16,TDP:120W,1706.95,1899.99,83,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",Speed:2.1GHz,Cores:16,TDP:120W,1706.95,1899.99,71,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2683 V4,"Speed:2.1GHz,Cores:16,TDP:120W",Speed:2.1GHz,Cores:16,TDP:120W,1706.95,1899.99,59,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",Speed:2.2GHz,Cores:22,TDP:145W,1535.62,1756,121,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",Speed:2.2GHz,Cores:22,TDP:145W,1535.62,1756,109,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",Speed:2.2GHz,Cores:22,TDP:145W,1535.62,1756,181,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",Speed:2.2GHz,Cores:22,TDP:145W,1535.62,1756,157,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",Speed:2.2GHz,Cores:22,TDP:145W,1535.62,1756,145,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2699 V4 (OEM/Tray),"Speed:2.2GHz,Cores:22,TDP:145W",Speed:2.2GHz,Cores:22,TDP:145W,1535.62,1756,133,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",Speed:3.2GHz,Cores:8,TDP:140W,1519.85,1751.99,121,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",Speed:3.2GHz,Cores:8,TDP:140W,1519.85,1751.99,109,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",Speed:3.2GHz,Cores:8,TDP:140W,1519.85,1751.99,181,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",Speed:3.2GHz,Cores:8,TDP:140W,1519.85,1751.99,157,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",Speed:3.2GHz,Cores:8,TDP:140W,1519.85,1751.99,145,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-1680 V3 (OEM/Tray),"Speed:3.2GHz,Cores:8,TDP:140W",Speed:3.2GHz,Cores:8,TDP:140W,1519.85,1751.99,133,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",Speed:3.4GHz,Cores:6,TDP:135W,1225.59,1708.86,121,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",Speed:3.4GHz,Cores:6,TDP:135W,1225.59,1708.86,109,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",Speed:3.4GHz,Cores:6,TDP:135W,1225.59,1708.86,181,New Jersey,,2007 Zagora St,,South Brunswick,New Jersey,United States of America
Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",Speed:3.4GHz,Cores:6,TDP:135W,1225.59,1708.86,157,Toronto,,147 Spadina Ave,,Toronto,Ontario,Canada
Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",Speed:3.4GHz,Cores:6,TDP:135W,1225.59,1708.86,145,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2643 V4 (OEM/Tray),"Speed:3.4GHz,Cores:6,TDP:135W",Speed:3.4GHz,Cores:6,TDP:135W,1225.59,1708.86,133,Mexico City,,Mariano Escobedo 9991,,Monterrey,Nuevo León,Mexico
Intel Core i7-6950X (OEM/Tray),"Speed:3.0GHz,Cores:10,TDP:140W",Speed:3.0GHz,Cores:10,TDP:140W,1479.56,1704.37,54,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Core i7-6950X (OEM/Tray),"Speed:3.0GHz,Cores:10,TDP:140W",Speed:3.0GHz,Cores:10,TDP:140W,1479.56,1704.37,3,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Core i7-6950X (OEM/Tray),"Speed:3.0GHz,Cores:10,TDP:140W",Speed:3.0GHz,Cores:10,TDP:140W,1479.56,1704.37,101,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Core i7-6950X (OEM/Tray),"Speed:3.0GHz,Cores:10,TDP:140W",Speed:3.0GHz,Cores:10,TDP:140W,1479.56,1704.37,71,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Core i7-6950X (OEM/Tray),"Speed:3.0GHz,Cores:10,TDP:140W",Speed:3.0GHz,Cores:10,TDP:140W,1479.56,1704.37,35,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",Speed:2.4GHz,Cores:14,TDP:120W,1365.13,1639.99,123,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",Speed:2.4GHz,Cores:14,TDP:120W,1365.13,1639.99,111,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",Speed:2.4GHz,Cores:14,TDP:120W,1365.13,1639.99,195,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",Speed:2.4GHz,Cores:14,TDP:120W,1365.13,1639.99,171,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
Intel Xeon E5-2680 V4,"Speed:2.4GHz,Cores:14,TDP:120W",Speed:2.4GHz,Cores:14,TDP:120W,1365.13,1639.99,147,Sydney,,12-98 Victoria Street,,Sydney,New South Wales,Australia
Intel Xeon E5-2680 V3 (OEM/Tray),"Speed:2.5GHz,Cores:12,TDP:120W",Speed:2.5GHz,Cores:12,TDP:120W,1166.89,1638.89,66,Beijing,,40-5-12 Laogianggen,,Beijing,Shenzhen,China
Intel Xeon E5-2680 V3 (OEM/Tray),"Speed:2.5GHz,Cores:12,TDP:120W",Speed:2.5GHz,Cores:12,TDP:120W,1166.89,1638.89,54,Bombay,,1298 Vileparle (E),,Bombay,Maharashtra,India
Intel Xeon E5-2680 V3 (OEM/Tray),"Speed:2.5GHz,Cores:12,TDP:120W",Speed:2.5GHz,Cores:12,TDP:120W,1166.89,1638.89,138,San Francisco,,2011 Interiors Blvd,,South San Francisco,California,United States of America
Intel Xeon E5-2680 V3 (OEM/Tray),"Speed:2.5GHz,Cores:12,TDP:120W",Speed:2.5GHz,Cores:12,TDP:120W,1166.89,1638.89,114,"Seattle, Washington",,2004 Charade Rd,,Seattle,Washington,United States of America
